AssetID,Brand,ModelNumber,SerialNumber,Description,DateOfPurchase,DateAdded,DateModified,ChangeHistory,IsMissing,IsOOC,IsDegraded,IsDisposed,IsBulk,Quantity,MaintenanceLogs,DepartmentCode,DefaultLocation,CurrentLocation
APEXDI#07,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#08,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#09,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#10,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#11,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#12,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#13,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#14,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#15,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MSX48#01,ARX,MSX48,,Mic/Line Splitter,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MSX48#02,ARX,MSX48,,Mic/Line Splitter,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MSX48#03,ARX,MSX48,,Mic/Line Splitter,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MSX48#04,ARX,MSX48,,Mic/Line Splitter,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MSX48#05,ARX,MSX48,,Mic/Line Splitter,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MSX48#06,ARX,MSX48,,Mic/Line Splitter,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MSX48#07,ARX,MSX48,,Mic/Line Splitter,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MSX48#08,ARX,MSX48,,Mic/Line Splitter,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MSX48#09,ARX,MSX48,,Mic/Line Splitter,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MSX48#10,ARX,MSX48,,Mic/Line Splitter,,2026-06-25T00:00:00,,,False,True,False,False,False,1,,AX,Store,
BIGBEN#01,Apogee,Big Ben,BB8795,192kHz master digital clock,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
BIGBEN#02,Apogee,Big Ben,BB8861,192kHz master digital clock,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MACBOOKPROA2918#01,Apple,Macbook Pro (A2918),LNK7WH614C,14inch Macbook Pro,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MACBOOKPROA2918#02,Apple,Macbook Pro (A2918),C91D7KM6FK,14inch Macbook Pro,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MACPROLATE2013#01,Apple,Mac Pro (late 2013),F5KRM035F693,"3.5GHz 6-core Intel Xeon E5 w/ AMD FirePro D500 3GB, 250GB Flash Storage",,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
MACPROLATE2013#02,Apple,Mac Pro (late 2013),F5KFN04EF694,"3.5GHz 6-core Intel Xeon E5 w/ AMD FirePro D500 3GB, 250GB Flash Storage",,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
S6L#01,Avid,S6L,EAECQ611600003E,"256 channels of 96kHz audio digital console
System ID: 50165485 P/N: 9100-65735-03",,2026-06-25T00:00:00,,,False,False,True,False,False,1,"[{""id"":""c3948c362c0817ced237cc01"",""date"":""2026/01/01"",""user"":""emily"",""description"":""Local IO setan, upper left side crack, left and right side lower crack. right side crack is when rental to SI"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
S6L#02,Avid,S6L,EADYG54500034I,"256 channels of 96kHz audio digital console
System ID: 50099397 P/N: 9100-65735-00 New P/N:9100-65735-03 REV.A",,2026-06-25T00:00:00,,,False,False,False,False,False,1,"[{""id"":""d8095891256f8650b0579a59"",""date"":""2026/01/01"",""user"":""emily"",""description"":""Upper right side crack, middle left crack"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
E6L#01,Avid,E6L,CBEBX53600090B,"System ID: 50099982, unknown code: 515-15080601300057",,2026-06-25T00:00:00,,,False,False,True,False,False,1,"[{""id"":""eb2f83fe14fe9fbfa611ac89"",""date"":""2026/01/01"",""user"":""emily"",""description"":""front panel crack\nwas together with the surface with the local IO setan"",""type"":""Fault"",""cost"":"""",""changes"":[{""kind"":""degraded"",""action"":""marked""}],""source"":{}}]",AX,Store,
E6L#02,Avid,E6L,CBEBX61300019C,"System ID: 50152280, unknown code: 519-15112600500007",,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
STAGE64#01,Avid,Stage 64,BLDYM60200045C,I/O Rack,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
STAGE64#02,Avid,Stage 64,BLDYM54500051A,I/O Rack,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
STAGE64#03,Avid,Stage 64,BLDYM54400038A,I/O Rack,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
STAGE64#04,Avid,Stage 64,BLDYM54500022A,I/O Rack,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
HDIODSA44#01,Avid,HDIODSA44,BLDCP43300081G,HD I/O Interface 16x16 Digital,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
HDIODSA44#02,Avid,HDIODSA44,BLDCS60700050H,HD I/O Interface 16x16 Digital,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
HDIODSA44#03,Avid,HDIODSA44,BLDCS60700030H,HD I/O Interface 16x16 Digital,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
HDIODSA44#04,Avid,HDIODSA44,BLDCP42100021G,HD I/O Interface 16x16 Digital,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A360#01,Aviom,A360,20244,Personal Mixer,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A360#02,Aviom,A360,20240,Personal Mixer,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A360#03,Aviom,A360,20241,Personal Mixer,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A360#04,Aviom,A360,20237,Personal Mixer,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A360#05,Aviom,A360,20946,Personal Mixer,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A360#06,Aviom,A360,20243,Personal Mixer,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A360#07,Aviom,A360,20949,Personal Mixer,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A360#08,Aviom,A360,20948,Personal Mixer,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A360#09,Aviom,A360,20947,Personal Mixer,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A360#10,Aviom,A360,20944,Personal Mixer,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A360#11,Aviom,A360,20951,Personal Mixer,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
D800DANTE#01,Aviom,D800-Dante,10707,A-Net Distributor,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
D800DANTE#02,Aviom,D800-Dante,10706,A-Net Distributor,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
A16DPRO#01,Aviom,A16D-Pro,57652,power sub-system,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
AN16IV2#01,Aviom,AN16i v2,10817,Analog input,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
AN16IV2#02,Aviom,AN16i v2,12028,Analog input,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
AN16O#01,Aviom,AN16o,10072,,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
AN16O#02,Aviom,AN16o,10071,,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
AN16SB4#01,Aviom,AN-16SB4,,Splitter/Bridge,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#01,Coda,Linus 10,7101449,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#02,Coda,Linus 10,7101464,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#03,Coda,Linus 10,7101648,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#04,Coda,Linus 10,7101185,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#05,Coda,Linus 10,7101444,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#06,Coda,Linus 10,7101192,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#07,Coda,Linus 10,7101184,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#08,Coda,Linus 10,7101206,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#09,Coda,Linus 10,7101458,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#10,Coda,Linus 10,7101704,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#11,Coda,Linus 10,7101196,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#12,Coda,Linus 10,7101253,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
